umidori,software,Umidori,2021.02,Visualization,,,Project : VisLab
takobutsu,software,takobutsu,2024.06,Application,,,
axy-vis,software,Axy Visualizer,2023.03,Visualization,,,Project : VisLab
cvv,software,CVViewer,2022.08,Websoftwarelication,,,Personal Work
tra-js,software,Tra.js,2022.11,JavaScript Liblary,,,Personal Work
umidori-intelligence,software,Umidori Intelligence,2021.06,Artifical Intelligence,,,Personal Work
cube,software,CUBE,2018.12,Game,,,Project
fishue,software,Fishue,2022.12,Web softwarelication,,,Personal Work
color-selection,software,COLOR SELECTION,2019.01,Web softwarelication,,,Personal Work
emavis,software,Emavis,2022.12,Visualization,,,
location-data-generator,software,Location Data Generator,2023.02,Websoftwarelication,,,
megeilt-tweet-system,software,ツイート共有システム,2018.05,Installation System,,,Project
visual-k,software,Visual K,2021.02,Visualization,,,Project : お母さんの肉じゃが from enPit2019
task-management-tool,software,タスク管理ツール DO3,2019.12,Web softwarelication,,,Personal Work
gohan-search,software,ごっっはにゃさん,2019.08,Web softwarelication,,,Project : タピオカオムライス from enPit2019